movie,genre,year,link,summary,celebrity1,celebrity2,celebrity3,celebrity4,celebrity5,celebrity6,,
社交网络 The Social Network,剧情传记,2010,"https://movie.douban.com/subject/3205624
",2003年秋，哈佛大学。恃才放旷的天才学生马克·扎克伯格（JesseEisenberg饰）被女友甩掉，愤怒之际，马克利用黑客手段入侵了学校的系统，盗取了校内所有漂亮女生的资料，并制作名为“Facemash”的网站供同学们对辣妹评分。他的举动引起了轰动，一度致令哈佛服务器几近崩溃，马克因此遭到校方的惩罚。正所谓因祸得福，马克的举动引起了温克莱沃斯兄弟的注意，他们邀请马克加入团队，共同建立一个社交网站。与此同时，马克也建立了日后名声大噪的“Facebook”。经过一番努力，Facebook的名气越来越大，马克的财富与日俱增。然而各种麻烦与是非接踵而来，昔日的好友也反目成仇……,大卫·芬奇 导演,杰西·艾森伯格 饰 马克·扎克伯格 Mark Zuckerberg,安德鲁·加菲尔德 饰 爱德华多·萨维林 Eduardo Saverin,贾斯汀·汀布莱克 饰 肖恩·帕克 Sean Parker,鲁妮·玛拉 饰 艾丽卡·奥尔布莱特 Erica Albright,约瑟夫·梅泽罗 饰 达斯汀·莫斯科维茨 Dustin Moskovitz,,
黑客帝国 The Matrix,动作科幻,1999,"https://movie.douban.com/subject/1291843
",不久的将来，网络黑客尼奥（基奴李维斯饰）对这个看似正常的现实世界产生了怀疑。他结识了黑客崔妮蒂（凯莉·安·摩丝饰），并见到了黑客组织的首领墨菲斯（劳伦斯·菲什伯恩饰）。墨菲斯告诉他，现实世界其实是由一个名叫“母体”的计算机人工智能系统控制，人们就像他们饲养的动物，没有自由和思想，而尼奥就是能够拯救人类的救世主。可是，救赎之路从来都不会一帆风顺，到底哪里才是真实的世界？如何才能打败那些超人一样的特勤？尼奥是不是人类的希望？这是黑客的帝国，程序和代码欢迎大家的到来。.,莉莉·沃卓斯基 导演,拉娜·沃卓斯基 导演,基努·里维斯 饰 Neo,劳伦斯·菲什伯恩 饰 Morpheus,凯瑞-安·莫斯 饰 Trinity,雨果·维文 饰 Agent Smith,,
黑天鹅 Black Swan,剧情惊悚,2010,"https://movie.douban.com/subject/1978709
",纽约剧团要重排《天鹅湖》，因前领舞Beth（薇诺娜•赖德WinonaRyder饰）离去，总监Thomas（文森特•卡索尔VincentCassel.饰）决定海选新领舞，且要求领舞要分饰黑天鹅与白天鹅。Nina（娜塔莉•波特曼NataliePortman饰）自幼练习芭蕾舞，在母亲的细心关照下，技艺出众。这次，她希望可以脱颖而出。然而，在竞争中，她发现心机颇重的Lily（米拉•库妮丝MilaKunis饰）是自己的强劲对手。在选拔中，她的白天鹅表演的无可挑剔，但是黑天鹅不及Lily。她感到身心俱疲，回家还发现了背部的红斑与脚伤。她一个人找到总监，希望争取一下。总监趁机亲吻她，却被她强硬拒绝。结果，总监居然选了她。队友怀疑她靠色相上位。在酒会上，Beth甚至当众发泄。这种压力外加伤病，一直影响着她的发挥。总监启发她要释放激情，表现出黑天...(展开全部),达伦·阿伦诺夫斯基 导演,娜塔莉·波特曼 饰 妮娜·赛耶斯 Nina Sayers / The Swan Queen,米拉·库尼斯 饰 莉莉 Lily / The Black Swan,文森特·卡索 饰 托马斯·勒罗伊 Thomas Leroy / The Gentleman,芭芭拉·赫希 饰 艾丽卡·赛耶斯 Erica Sayers / The Queen,薇诺娜·瑞德 饰 贝丝·麦金太尔 Beth Macintyre / The Dying Swan,,
"巴黎，我爱你 Paris, je t'aime",剧情喜剧爱情,2006,"https://movie.douban.com/subject/1783772
",这是2006年戛纳电影节的开幕影片，众多著名导演参加了这部包含有十多个小故事的影片，其中包括科恩兄弟、杜可风等等。制片人希望通过这部众多导演参与的影片讲述发生在巴黎的几乎所有的情感。片中的十多个小故事有的看似荒诞不经、有的看似毫无头绪，但是细细品味，你会发现其中每个导演想表达的“真理”。一个还算小有成就的中年男友，在路边停车时，突发感概，为什么满街上的人，只有自己形单只影？就在这时，一个女人因为低血糖晕倒了在他的车旁，热心的男人将她扶进了自己的小车后座休息，两颗孤独的心由此靠近。塞纳河畔，三个年轻人在调戏着路过的年轻女子。其中一个发现了就在他们旁边有一个戴头巾的漂亮女孩，女孩离开时不小心摔倒了，那个年轻人跑过去把她扶了起来。爱情在两人中间慢慢滋长。一间画室里，一个法国男孩对另一个男孩一见钟情，絮絮叨叨的讲着自己是如何抑制不住和他谈话，讲着自己...(展开全部),奥利维耶·阿萨亚斯 导演,伊桑·科恩 导演,朱丽叶·比诺什 饰 苏珊娜 Suzanne,威廉·达福 饰 牛仔 Le cowboy,娜塔莉·波特曼 饰 弗朗辛 Francine,加斯帕德·尤利尔 饰 加斯帕德 Gaspard,,
海盗电台 The Boat That Rocked,剧情喜剧音乐,2009,"https://movie.douban.com/subject/3007773
",1966年，大西洋北海上漂浮着的一艘船，是深受不列颠听众喜爱的摇滚电台的大本营。因吸毒而退学的Carl（汤姆·斯图里奇TomSturridge饰）被母亲Charlotte（艾玛·汤普森EmmaThompson饰）送到这里，认识了Quentin（比尔·奈伊BillNighy饰）、TheCount（菲利普·塞默·霍夫曼PhilipSeymourHoffman饰）、Dave（尼克·弗罗斯特NickFrost饰）等热爱音乐崇尚自由的人。另一方面，政府高官SirAlistairDormandy（肯尼思·布拉纳KennethBranagh饰）决定设法取缔非法电台。随着政府向电台的赞助商施压，电台的收入持续降低。此时，出国两年现已享有国际盛誉的Gavin（瑞斯·伊凡斯RhysIfans饰）决定海归，解决了...(展开全部),理查德·柯蒂斯 导演,比尔·奈伊 演员,肯尼思·布拉纳 演员,菲利普·塞默·霍夫曼 演员,尼克·弗罗斯特 演员,汤姆·斯图里奇 演员,,
长江七号,喜剧科幻,2008,"https://movie.douban.com/subject/1961963
",小狄（徐娇饰）是一个在贵族学校念书的穷孩子。他诚实善良，却总是遭到富家子的欺负和嘲笑。小狄和爸爸（周星驰饰）住在一所废弃的旧房子里，爸爸每天拼命的工作，就是为了让他念好书，将来出人头地。平日，小狄总是很乖，就算体育课因为没有运动鞋而被老师罚站，他也从不埋怨爸爸。可是这一次，为了一个大家都有的玩具，小狄跟爸爸发起脾气来。爸爸买不起，就在垃圾堆里捡了一个“球”给儿子玩。谁知，这个透明的小球却变成一只活泼可爱，拥有超能力的太空狗。小狄欣喜极若狂，给他取名叫“长江七号”。小狄梦想着用七仔的超能力考100分，却没想到七仔非但没有帮到他，却让他得了个零蛋。他偷偷修改了成绩单，跟爸爸说了一次谎。爸爸大怒，小狄离家出走，赌气要凭真本事考好成绩给爸爸看。谁知，正当小狄笑着，拿着成绩单的时候，工地发生事故，爸爸从楼上摔了下来……,周星驰 导演,周星驰 饰 周铁,徐娇 饰 周小狄,张雨绮 饰 袁老师,林子聪 饰 胖老板,冯勉恒 饰 体育老师,,
我是传奇 I Am Legend,剧情动作惊悚冒险,2007,"https://movie.douban.com/subject/1820156
",2012年，人类被不知名病毒感染，纽约成为一座空城。RobertNeville（WillSmith饰）是为军方服务的科学家，也是对病毒有免疫力的幸存者。白天，他带着狗Sam在街道上寻找食物，用广播寻找幸存者，在实验室里研究治愈病毒的方法；晚上，他只能躲在屋子里，因为那些感染病毒而没有死亡的人们，成为了“夜魔”只能夜晚出来活动，丧失理智，会攻击所有的人。某天，Sam也感染病毒死去，RobertNeville陷入了前所未有的孤独。当他准备和“夜魔”们同归于尽的时候，另外一个幸存者Anna(AliceBraga饰)救了他。Anna相信山上的隔离区还有幸存者，但是固执的RobertNeville却坚持守在纽约。又一个晚上，“夜魔”攻击RobertNeville的住所，此时他的研究已经获得成功，但是只有坚持到天亮，人类才能得以延存。,弗朗西斯·劳伦斯 导演,威尔·史密斯 演员,艾莉丝·布拉加 演员,查理·塔汉 演员,莎莉·理查德森 演员,薇洛·史密斯 演员,,
闻香识女人 Scent of a Woman,剧情,1992,"https://movie.douban.com/subject/1298624
",查理（克里斯•奥唐纳ChrisO'Donnell饰）是一个普通的中学生，他因为见证着一件恶作剧但又不想出卖朋友，于是面临着一道艰难的选择题——要么坦白，要么被学校勒退。而史法兰（阿尔•帕西诺AlPacino饰）是一个退伍军官，因为意外失明，人生从顶点的辉煌滑落谷底。自从两人的人生有了交集，命运的转折慢慢清晰。史法兰打算结束失去了意义的生活，于是在查理的陪伴下，尽情享受着人生最后一趟出行。他吃最美味的佳肴，买光鲜的汽车，在狭窄的街道上飚车，住在豪华的套房里，跟随陌生女子的袅袅香水味，跳一段优雅性感的探戈……极乐的疯狂后，他拿枪对准了自己的头颅。然而，查理声嘶力竭的劝阻改变了一切，曙光亦渐渐在这个老人心中重新升起，二人情深如父子。史法兰在学校礼堂激昂演说，挽救了查理的前途，讽刺了学校的伪善。二人在互相鼓舞中得到重生。,马丁·布莱斯特 导演,阿尔·帕西诺 饰 Lieutenant Colonel Frank Slade,克里斯·奥唐纳 饰 Charlie Simms,詹姆斯·瑞布霍恩 饰 Mr. Trask,加布里埃尔·安瓦尔 饰 Donna,"菲利普·塞默·霍夫曼 饰 George Willis, Jr.",,
飞越疯人院 One Flew Over the Cuckoo's Nest,剧情,1975,"https://movie.douban.com/subject/1292224
",麦克墨菲（杰克·尼科尔森JackNicholson饰）为了逃避监狱里的强制劳动，装作精神异常，被送进了精神病院，他的到来，给死气沉沉的精神病院带来了剧烈的冲击。麦克要求看棒球比赛的电视转播，挑战了医院严格的管理制度，受到护士长拉契特（路易丝·弗莱彻LouiseFletcher饰）的百般阻挠；麦克带领病人出海捕鱼，振奋了他们的精神，却让院方头痛不已。院方为了惩处麦克胆大妄为、屡犯院规，决定将他永远留在疯人院。生性自由的麦克再也无法忍受疯人院的生活，他联合病友，高大的印第安人“酋长”，开始自己的计划：飞越疯人院。本片获1975年第48届奥斯卡最佳影片，最佳男、女主角，最佳导演和最佳改编剧本五项大奖。主人公“不自由，毋宁死”的精神在当今社会仍有很大的现实意义。,米洛斯·福尔曼 导演,杰克·尼科尔森 饰 R·P·麦克墨菲 R.P. McMurphy,丹尼·德维托 演员,克里斯托弗·洛伊德 泰伯 Taber,路易丝·弗莱彻 护士长瑞秋 Nurse Ratched,威尔·萨姆森 饰 酋长布罗姆登 Chief Bromden,,
和莎莫的500天 (500) Days of Summer,剧情喜剧爱情,2009,"https://movie.douban.com/subject/3072086
",来自新泽西的汤姆（JosephGordon-Levitt约瑟夫•高登-莱维特饰）是一个沉溺于英伦哀歌与《毕业生》情境的年轻人。他供职于一家贺卡公司，任务是撰写富有创意的祝辞。某次会议上，汤姆的老板把新助理介绍给大家，她是来自密歇根的魅力女孩莎莫（ZooeyDeschanel佐伊•丹斯切尔饰）。莎莫自幼父母离异，因此对于感情的态度与众不同。汤姆和莎莫没有一见钟情，但却在一次酒吧K歌后彼此示好，成了非典型的恋人。而且这段办公室恋情迅速升温，爱火烧得谁都无法预料。最后，在一个餐馆里，莎莫对汤姆说了绝情的分手。深陷情网的汤姆，经受不住失恋的打击，郁郁寡欢，周围的伙伴们希望帮他走出阴影，然而，这并不是故事的全部，本片以汤姆的视角把时间重新组接，让观众在对比中体味500天恋爱的弦外之音……,马克·韦布 导演,约瑟夫·高登-莱维特 饰 Tom,佐伊·丹斯切尔 饰 Summer,吉奥弗瑞·阿伦德 饰 McKenzie,科洛·莫瑞兹 饰 Rachel,马修·格雷·古柏勒 饰 Paul,,
太阳照常升起,剧情奇幻,2007,"https://movie.douban.com/subject/1766086
",姜文蛰伏七年之后的又一力作，由四个充满魔幻现实主义风格的小故事组成。1976年，南部一个边远的小山村，李东方（房祖名饰）的母亲因为一双鞋子疯掉，成为疯妈（周韵饰），终日疯疯癫癫，一天，李东方无意发现疯妈发疯的真相……1976年，一所大学里，晚上在操场放电影，有五个女人声称被人“摸屁股”，梁老师（黄秋生饰）阴差阳错成为嫌疑犯，有人开始在暗中帮他洗脱嫌疑……1976年，老唐（姜文饰）和唐妻（孔镱珊饰）下放到李东方所在的小山村。老唐天天和村里的孩子们一起上山打猎，逍遥自在，唐妻备受冷落之下，准备寻找自己新的生活……1958年，新疆，两个骑骆驼的女人，唐妻和身怀六甲的疯妈，并肩而行，迎接她们的，是两段截然不同的命运……若干年后的纠葛，从茫茫戈壁上的相遇开始，早已冥冥注定。,姜文 导演,房祖名 演员,周韵 演员,姜文 演员,黄秋生 演员,陈冲 演员,,
宝贝计划 寶貝計劃,剧情喜剧动作,2006,"https://movie.douban.com/subject/1859036
",故事围绕一个刚出生的宝宝开始。人字拖（成龙饰）虽有不凡的身手，可是终日沉迷赌博毫无人生目标，便与包租公（许冠文饰）、八达通（古天乐饰）一起盗窃，干着偷偷摸摸的犯罪事。城中女富豪（余安安饰）唯一的孙子出生后，包租公受不了金钱的诱惑，答应把宝宝偷给黑帮老大，以证明宝宝是否是自己死去的儿子与前女友的孩子。成功偷得孩子后，一连串发生的事情，使人字拖及八达通改变了自己的人生观念。人字拖开始关心家人，八达通也看到了自己老婆（蔡卓妍饰）的不易，开始重新做人。在包租公及黑势利的威胁下，他们还是要把偷来的BB交出来，到底又会发生些什么事，故事有会否大团圆结局呢？,陈木胜 导演,成龙 饰 人字拖,古天乐 饰 百达通,蔡志强 饰 初生李家成,许冠文 饰 包租公,蔡卓妍 饰 白燕,,
拯救大兵瑞恩 Saving Private Ryan,剧情战争,1998,"https://movie.douban.com/subject/1292849
",瑞恩（马特•达蒙MattDamon饰）是二战期间的美国伞兵，被困在了敌人后方。更不幸的是，他的三个兄弟全部在战争中死亡，如果他也遇难，家中的老母亲将无依无靠。美国作战总指挥部知道了这个情况，毅然决定组织一个小分队前往救援，其中包括米勒上尉（汤姆•汉克斯TomHanks饰）和翻译厄本（杰里米.戴维斯JererryDavies饰）。然而，敌方危险重重，他们一路上随时与死亡打交道。他们非常怀疑，到底值不值得冒着八个人的生命危险，去搭救一个人。大家一路辗转寻找瑞恩，对于这次搭救行动，有人不满，有人热忱，有人好奇。大家一次次闻到死神的气息，瑞恩的获救付出了沉重的代价。,史蒂文·斯皮尔伯格 导演,汤姆·汉克斯 饰 Captain Miller,汤姆·塞兹摩尔 饰 Sergeant Horvath,爱德华·伯恩斯 饰 Private Reiben,巴里·佩珀 饰 Private Jackson,亚当·戈德堡 饰 Private Mellish,,
理发师陶德 Sweeney Todd: The Demon Barber of Fleet Street,剧情恐怖歌舞,2007,"https://movie.douban.com/subject/1820145
",受法官塔萍（阿伦`瑞克曼）陷害，被迫流放他乡15年的陶德（约翰尼`德普）回到伦敦后，满心的怒火，只想复仇。他的妻子露西（劳拉`凯利）已经不知所踪，而女儿乔安娜（珍妮`怀森纳）则被塔萍作为养女囚禁在深宅大院里。陶德遇到了馅饼店老板娘洛薇特夫人（海伦娜`卡特），也是一直爱恋他的女人。在馅饼店楼上，陶德重新开张了他的理发店。渐渐的馅饼的生意好了起来，只是烟筒里不断冒出恶臭的黑烟。理发店的客人也很多，却很少见到有人走出来。那里，陶德一直在等着法官塔萍的到来。,蒂姆·波顿 导演,约翰尼·德普 饰 Sweeney Todd,海伦娜·伯翰·卡特 饰 Mrs. Lovett,艾伦·瑞克曼 饰 Judge Turpin,蒂莫西·斯波 饰 Beadle,萨莎·拜伦·科恩 饰 Pirelli,,
幽灵公主 もののけ姫,动画奇幻冒险,1997,"https://movie.douban.com/subject/1297359
",为了拯救危难中的村民，阿斯达卡的右手中了凶煞神的诅咒。达卡只好离开亲人往西方流浪以寻找解除诅咒的方法。旅途中他遇到了由幻姬大人带领的穷苦村民在麒麟兽的森林里开采铁矿，提炼矿石。白狼神莫娜和她养大的人类女孩“幽灵公主”桑对幻姬恨之入骨，因为她们觉得幻姬带领众人破坏了森林。想帮助人类的阿斯达卡被桑深深吸引，他理解她，但为了帮助穷人又不得不和她作战。一次战斗中，阿斯达卡被麒麟兽所救，他的立场更加摇摆不定。这时，以疙瘩和尚为首的一群人来杀麒麟兽，幻姬以火枪击毙了麒麟，麒麟的头被疙瘩和尚抢走。愤怒的麒麟的灵魂为夺回自己的头，大肆破坏着森林。阿斯达卡和桑联手决定帮麒麟夺回头颅。,宫崎骏 导演,松田洋治 配 阿席达卡 アシタカ Ashitaka,石田百合子 配 珊(小桑) / 卡雅 サン / カヤ San / Mononoke-Hime / Kaya,田中裕子 配 黑帽大人(幻姬) エボシ御前 Eboshi-gozen,小林薰 配 疙瘩和尚 ジコ坊 Jiko-bô,西村雅彦 配 甲六 Kouroku,,
音乐之声 The Sound of Music,剧情爱情歌舞传记,1965,"https://movie.douban.com/subject/1294408
",玛利亚（朱丽·安德鲁斯饰）是一个年轻活泼的修女，喜欢在大自然下高声歌唱，所以她常常忘记了修道院里的规矩。院长认为玛利亚并不属于规矩严格的修道院。院长与众嬷嬷商量后，决定安排玛利亚到一位名叫特拉普（克里斯托弗·普卢默饰）上校家当家庭教师。上校的妻子去世多年，留下7个孩子，他要求对孩子严格管教。他告诉玛利亚在他家的家庭教师都做不长久，都是因为孩子的恶作剧。玛利亚果然也遭到了恶作剧，可是这位善良的老师并没有告诉他们的父亲，而是像个母亲一样照顾孩子，很快跟孩子打成一片。上校也渐渐在玛利亚的引导下改变了对孩子们的态度。上校与玛利亚之间发生了感情，他们完婚后回到了已被纳粹占领的奥地利，上校并不想为纳粹办事，一家人准备逃跑……,罗伯特·怀斯 导演,朱莉·安德鲁斯 饰 Maria,克里斯托弗·普卢默 饰 Captain Von Trapp,埃琳诺·帕克 饰 The Baroness,理查德·海顿 饰 Max Detweiler,佩吉·伍德 饰 Mother Abbess,,
致命魔术 The Prestige,剧情悬疑惊悚,2006,"https://movie.douban.com/subject/1780330
",19世纪末，人们对科学文明还不是认识得太过清楚，于是，安吉尔（休•杰克曼HughJackman饰）和伯登（克里斯蒂安•贝尔ChristianBale饰）的魔术，成为了伦敦城内的神奇人物。安吉尔出身贵族，魔术手段华丽丰富，是富人圈子里的表演常客。而伯登即使出身平平，争强好胜的心智和充满创造力的魔术技巧，却也令他有了名气。两人自小本是要好的伙伴，然而，现在魔术界二人各有领地，并且都有野心想成为音乐大厅里的顶级魔术师，一番明争暗斗如箭在弦上。伯登掌握了精彩的分身术，叫座又叫好。而安吉尔见情势不妙，搬来科学家助阵——他发明的交流电有无穷魔力，保证让观众目瞪口呆。二人出招接招，一来一往，争斗在剧烈升级，友谊和道德都被抛诸脑后，一场血案在悄悄酝酿。,克里斯托弗·诺兰 导演,休·杰克曼 饰 罗伯特·安吉尔 Robert Angier,克里斯蒂安·贝尔 饰 阿尔佛雷德·伯登 Alfred Borden,迈克尔·凯恩 饰 卡特 Cutter,丽贝卡·豪尔 饰 莎拉 Sarah,斯嘉丽·约翰逊 饰 奥莉维亚 Olivia Wenscombe,,
英雄,剧情动作武侠古装,2002,"https://movie.douban.com/subject/1306123
",战国末期，燕、赵、楚、韩、魏、齐、秦七雄并起，惟秦国最为强大，急欲吞并六国一统天下，秦王（陈道明）因此成为六国大敌，各地不同的刺秦故事一直在上演，其中赵国刺客残剑（梁朝伟）、飞雪（张曼玉）、如月（章子怡）、长空（甄子丹）因名震天下的高超剑术，令秦王十年里没睡过一个安稳觉。某日闻得长空已被名叫无名（李连杰）的秦国剑客杀死，秦王大喜急召其上殿相见，却也谨慎小心以防有诈，秦王和无名斗智斗勇的较量遂即展开。,张艺谋 导演,李连杰 饰 无名,梁朝伟 饰 残剑,张曼玉 饰 飞雪,章子怡 饰 如月,陈道明 饰 秦王,,
乱世佳人 Gone with the Wind,剧情爱情历史战争,1939,"https://movie.douban.com/subject/1300267
",美国南北战争前夕，南方农场塔拉庄园的千金斯嘉丽（费雯·丽VivienLeigh饰）爱上了另一个农场主的儿子艾希礼（莱斯利·霍华德LeslieHoward饰），遭到了拒绝，为了报复，她嫁给了自己不爱的男人，艾希礼妻子梅兰妮（奥利维娅·德哈维兰OliviadeHavilland饰）的弟弟查尔斯。战争期间，斯嘉丽成为寡妇，失去母亲，挑起生活的重担，不再是当初的千金小姐；战争结束后，她又两度为人妻，嫁给了爱她多年的投机商人瑞德（克拉克·盖博ClarkGable饰）。然而，纵使经历了生活的艰苦，斯嘉丽对艾希礼的感情仍然没有改变。艾希礼妻子梅兰妮的去世，给了斯嘉丽一个机会，一边是深爱自己的丈夫瑞德，一边是心心念念多年的艾希礼？斯嘉丽会给自己怎样一个不一样的明天？,维克多·弗莱明 导演,乔治·库克 导演,费雯·丽 饰 Scarlett - Their Daughter,克拉克·盖博 饰 瑞特·巴特勒 Rhett Butler - Visitor from Charleston,奥利维娅·德哈维兰 饰 梅兰尼·汉密尔顿 Melanie Hamilton - Their Cousin,托马斯·米切尔 饰 杰拉尔德·奥哈拉 Gerald O'Hara,,
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,剧情动作奇幻冒险,2001,"https://movie.douban.com/subject/1291571
",比尔博·巴金斯是100多岁的霍比特人，住在故乡夏尔，生性喜欢冒险，在年轻时的一次探险经历中，他从怪物咕噜手中得到了至尊魔戒，这枚戒指是黑暗魔君索伦打造的至尊魔戒，拥有奴役世界的邪恶力量，能够统领其他几枚力量之戒，在3000年前的人类联盟和半兽人大军的战役中，联盟取得了胜利，并得到了至尊魔戒，数千年的辗转后，魔戒落到咕噜手中，被比尔博碰巧得到。因为和魔戒的朝夕相处，比尔博的心性也受到了影响，在他111岁的生日宴会上，他决定把一切都留给侄子佛罗多（伊利亚‧伍德饰)，继续冒险。比尔博的好朋友灰袍巫师甘道夫（伊恩·麦克莱恩饰）知道至尊魔戒的秘密，同时，黑暗魔君索伦已经知道他的魔戒落在哈比族的手中。索伦正在重新建造要塞巴拉多，集结无数的半兽人，准备以大军夺取魔戒，并且征服全世界。甘道夫说服佛罗多将魔戒护送到精灵王国瑞文希尔，佛罗多在好朋友山姆、皮...(展开全部),彼得·杰克逊 导演,伊利亚·伍德 饰 Frodo,西恩·奥斯汀 饰 Sam,伊恩·麦克莱恩 饰 Gandalf,维果·莫腾森 饰 Aragorn,奥兰多·布鲁姆 饰 Legolas,,
阿飞正传 阿飛正傳,剧情爱情犯罪,1990,"https://movie.douban.com/subject/1305690
",1960年代的香港，因生母在阿飞旭仔（张国荣）长大成人过程中的缺失，他把自己优雅地比喻为“无根鸟”，对生命中遇到的每一个女人都表现得放荡不羁，售票员苏丽珍（张曼玉）和舞女咪咪（刘嘉玲）先后令他感受过温暖，可是她们也只能当当小情人。为摆脱沉重和无力感，旭仔抛下一切去南洋找寻生母。暗恋过苏丽珍且目睹过她与旭仔情感一路变化的，曾是小巡警今在跑船的超仔（刘德华）在菲律宾又遇到旭仔，是缘分也是宿命，他参与、见证了阿飞命运被改写的过程。,王家卫 导演,张国荣 饰 旭仔,张曼玉 饰 苏丽珍,刘嘉玲 饰 梁凤英 / 咪咪 / 露露,刘德华 饰 超仔,张学友 饰 歪仔,,
禁闭岛 Shutter Island,剧情悬疑惊悚,2010,"https://movie.douban.com/subject/2334904
",本片根据美国小说家丹尼斯·勒翰（DennisLehane）的同名小说改编。1954年，联邦警官泰迪（莱昂纳多·迪卡普里奥LeonardoDiCaprio饰）和搭档查克（马克·鲁弗洛MarkRuffalo饰）乘船来到波士顿附近的禁闭岛精神病犯监狱调查一桩离奇失踪案。手刃亲生骨肉的女犯蕾切尔（艾米莉·莫迪默EmilyMortimer饰）从戒备森严的牢室神秘逃脱，藏匿于孤岛深处。泰迪怀疑监狱的主治精神病医师约翰·考利（本·金斯利BenKingsley饰）有意隐瞒内情，并向查克透露他上岛的真实目的其实是寻找当年纵火烧死他妻子德洛丽丝（米歇尔·威廉姆斯MichelleWilliams饰）的管理员，并揭露美国政府利用精神病犯人进行人体科学实验的罪行。但随着调查的逐渐深入，真相却变得越来越扑朔迷离……,马丁·斯科塞斯 导演,莱昂纳多·迪卡普里奥 演员,马克·鲁弗洛 演员,本·金斯利 演员,马克斯·冯·叙多夫 演员,米歇尔·威廉姆斯 演员,,
门徒 門徒,剧情惊悚犯罪,2007,"https://movie.douban.com/subject/1890784
",阿昆（刘德华饰）长年垄断了海洛因市场，虽视追随8年多的阿力（吴彦祖饰）为接班人，但阿昆一向小心行事，从没透露过“货仓“、加工场的位置也未见过其他“同事”。阿昆打算把自己的生意全权交由阿力打理，阿力渐渐知道了更多毒品市场中的秘密。8年来阿力以卧底的身份搜集毒贩的全部资料，但他对吸毒者阿芬（张静初饰）投入了感情，阿芬的景况却令他对自己边缘人的身份感到更加迷惘。斗志斗勇的过程中，阿力最终取得了阿昆的完全信任，8年来的追踪，也有了终结。,尔冬升 导演,刘德华 演员,吴彦祖 演员,古天乐 演员,张静初 演员,袁咏仪 演员,,
萤火虫之墓 火垂るの墓,剧情动画战争,1988,"https://movie.douban.com/subject/1293318
",美日战争爆发，14岁的清太带着年幼的妹妹到处逃命，当他们到达防空洞的时候，母亲已身受重伤，没过多久便不久人世。两兄妹自此过着相依为命的日子。他们只好投靠了母亲的姐妹，纵使他们把家里所有的家当都送给了阿姨，但当食物吃完，他们就越感到了寄人篱下的感觉，清太决定带着妹妹离开独自生活。火灾硝烟中的生活并不好过，清太为了妹妹四处偷取食物，但妹妹还是严重营养不良……,高畑勋 导演,山口朱美 配 西宮のおばさん,志乃原良子 配 清太・節子の母,白石绫乃 配 節子,辰巳努 配 清太,野坂昭如 编剧,,
大逃杀 バトル・ロワイアル,剧情惊悚,2000,"https://movie.douban.com/subject/1292444
",为了培养出忠实效忠于成人、在逆境中坚忍不拔的青少年一代，日本政府出台《BR》法案。每年都从全国学校随机抽出一个班级的同学，前往荒岛进行生存极限挑战——老师发给学生地图、粮食和各式武器，令他们自相残杀，直到存活下来的最后一个，才能离开荒岛。接下来，残酷的游戏规则和令人绝望的生存条件，使班级里的年轻人开始了相互杀戮。善良或者凶残，主动出击或者被动防守，同学们开始了各自的计划，人性的丑恶在血腥的死亡中暴露无遗。大逃杀的游戏在荒岛上壮烈上演。究竟学生们的宿命如何，谁才是最后的存活者。,深作欣二 导演,藤原龙也 饰 七原秋也,前田亚季 饰 中川典子,山本太郎 饰 川田章吾,北野武 饰 北野老师,栗山千明 饰 千草贵子,,
卧虎藏龙 臥虎藏龍,剧情爱情武侠,2000,"https://movie.douban.com/subject/1301168
",一代大侠李慕白（周润发饰）有退出江湖之意，托付红颜知己俞秀莲（杨紫琼饰）将青冥剑转交给贝勒爷（郎雄饰）收藏，不料当夜遭玉娇龙（章子怡）窃取。俞秀莲暗中查访也大约知道是玉府小姐玉蛟龙所为，她想办法迫使玉蛟龙归还宝剑，免伤和气。但李慕白发现了害死师傅的碧眼狐狸（郑佩佩饰）的踪迹，她隐匿于玉府并收玉蛟龙为弟子。而玉蛟龙欲以青冥剑来斩断阻碍罗小虎（张震饰）的枷锁，他们私定终身。关系变得错综复杂，俞秀莲和李慕白爱惜玉蛟龙人才难得，苦心引导，但玉蛟龙却使性任气不听劝阻……,李安 导演,周润发 饰 李慕白,杨紫琼 饰 俞秀莲,章子怡 饰 玉娇龙,张震 饰 罗小虎,郎雄 饰 Sir Te,,
美丽心灵 A Beautiful Mind,剧情传记,2001,"https://movie.douban.com/subject/1306029
",本片是关于20世纪伟大数学家小约翰•福布斯-纳什的人物传记片。小约翰•福布斯-纳什（拉塞尔•克劳）在念研究生时，便发表了著名的博弈理论，该理论虽只有短短26页，却在经济、军事等领域产生了深远的影响。但就在小约翰•福布斯-纳什蜚声国际时，他的出众直觉因为精神分裂症受到困扰，然而这并没阻止他向学术上的最高层进军的步伐，在深爱他的妻子艾丽西亚（珍妮弗•康纳利）的鼓励和帮助下，他走得虽然艰缓，却始终没有停步，而最终，凭借十几年的不懈努力和顽强意志，他如愿以偿。,朗·霍华德 导演,罗素·克劳 饰 John Nash,艾德·哈里斯 饰 Parcher,詹妮弗·康纳利 饰 Alicia Nash,克里斯托弗·普卢默 饰 Dr. Rosen,保罗·贝坦尼 饰 Charles,,
